text,label
{'Imagine how many have done this already and got away with entering ,FALSE
JW filed a FOIA lawsuit against State Treasury seeking answers on Obama Admin's $400 million cash pymt to Iran. ,FALSE
I am curious as to how many priests impregnanted young girls and used abortion to ,FALSE
"Should read blames Obama, diminishes the intelligence community and slams CNN and ",FALSE
"Global Payroll Specialist Assistant Manager, Dublin - ",FALSE
White gay: but I thought the b in lgbt stands for babadook ,TRUE
Dear you - your husband worked the rescue boats in the Med. Plse may we chat off record katie@katiehopkins.co.uk ,FALSE
They were conducted by two priests to a bench placed in front of the house in the open ,FALSE
No body can convince me that Barak Hussein Obama was working to weaken America since his ideology is well known and it is compared to ,FALSE
Trump: Obama Knew About Election Meddling Back In Early August And Did Nothi (pls  ,FALSE
It's a sign of the current weakness of UK liberal centre that it's most popular commentators such as are ,FALSE
has just given a speech exposing the flaws in our the PM's approach to the Brexit negotiations here&gt; ,FALSE
Media never show anything against Maulvees Priests as dey have enough plots 2 defame Hindu saints. ,FALSE
Bitch can't sleeep at all. Too much on my ,FALSE
09 Obama - Listen up Racists Elections have consequences. Peaceful transition of power! If Dem's aren't Seditious?,FALSE
"Leave Hobby Lobby alone! God expressly stated no birth control and no gay marriage, but never said anything about ",FALSE
bullshit asymmetry post feat. ,FALSE
I'm a political opinionated patriotic secular liberal center kind of guy .... and I choose to speak for?,FALSE
yeah this must hurt like a bitch ,FALSE
"Pearl: To begin, this Holopearl will be your opponent. Holopearl: Level zero beginner set! Do you wish to engage in ",FALSE
A huge legal 'flaw' in Brexit could make it vulnerable to a court challenge ,FALSE
Let's kill the childish lie that Labour supports the Tories on ,FALSE
Best thing for is back defending paedophile priests. Pell needs his help RIGHT now ,FALSE
Third sign in three days Brexit is hurting the economy ,FALSE
"Donald Trump Is Not a ""Legitimate President"" JohnLewis is a TRAITOR to AMERICANS who voted for DJT! ",TRUE
Why you talking to your daddy like an underpaid ,FALSE
"Hearts in Ireland | Ian Cathro talks Perry Kitchen, midfield reinforcements &amp; Kyle Lafferty debut?",FALSE
Good morning! Intense week of press coverage for The new Hotel on ,FALSE
Lived experience vs ideology - Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,FALSE
Jdb Justin ,FALSE
Death of talented teen footballer (16) from 'cocaine-like' designer drug is first recorded in Ireland?,FALSE
BBC News - Exorcism in Italy a job 'too scary' for young priests ,FALSE
If Obama did ANY of the lunatic things has done since taking office the would have literally set the White ,FALSE
"It's back with Southern Ireland, where it ",FALSE
Obsessed with Obama who's presidency history will see as remarkable. 0 convictions from the black POTUS. How ,FALSE
gay ,FALSE
Raising real concerns on behalf of and but no assurance or answer from govt ,FALSE
Trump administration begins pushing Obama tax policies ,FALSE
A beautiful spot next to Dromoland Castle. Co Clare Ireland. ,FALSE
First they came for Katie Hopkins' was a joke but 'then they came for Luciana and I did not speak out for ,FALSE
Boris Johnson is an idiot.your version of Donald Trump.We don't care what he thinks or ,TRUE
The EU's chief Brexit negotiator says 'frictionless trade' is 'not possible' after Britain leaves ,FALSE
Jimmy tell us about dlf Ireland research and deve?,FALSE
Hacked computer server that handled DNC email remains out of reach of Russia investigators by Obama AG Lynch order ,FALSE
Sleep with the fishes: Gove's first move raises alarm over UK hard Brexit strategy via ,FALSE
my mirror: YAS BITCH YOU LOOK AMAZING! SLAY! my phone camera: ,FALSE
376. ) thanks Obama ,FALSE
"Liberal man goes to rescue refugees, starts hating refugees. ",TRUE
It isn't going to work. It will most hurt those who voted for it. I've lost my struggle to be optimistic about Brexit. ,FALSE
Ireland ,FALSE
"Another hour! It's July 06, 2017 at 07:00AM Justin ",FALSE
dam I'm a hard ass bitch ,FALSE
"""amount of energy necessary to refute Brexit bullshit is order of magnitude bigger than to produce it"" By ",FALSE
Donald Trump lays out the truth about Obama and the globalists on the world stage. You can't put thi?,FALSE
IM LIKE GAWD DAMN YOU DIRTY BITCH ,TRUE
"U.S. President Donald Trump says ""nations must publicly demonstrate to North Korea that there are consequences for ",FALSE
Must have to pose as tolerant and caring liberal while making homosexual slurs like Making Star ,TRUE
Find out all about the stories team behind Ireland's Gin in our 'Meet the Maker' interview:?,FALSE
Its the sorta shit a Katie Hopkins or Tommy Rob idoliser would say...gives away there ,FALSE
"Yes! Bcs we love and respect unconditionally,treat him like an human being, an artist and a ",FALSE
Long hair and a flat top is gay ,TRUE
I very rarely agree with Catholic priests but this I completely agree with. ,FALSE
CNN threatened to publish his name and address you old billy goat! Whose side?,TRUE
"(4) More photos of Justin Bieber spotted out in Sydney, Australia today. (July 6) ",FALSE
Its not gay to respect women. But it is pussy to love a ,TRUE
There is a cure to liberal madness - it's called traditionalism. ,TRUE
NI priests receive honours for peace and Irish language services ,FALSE
1500 words from and me on 12 lessons for Brexit from Norway's 23 years outside EU but in Single Market ,FALSE
i'm not gay? shut your ,FALSE
DRUG-FUELLED GAY ORGY AT VATICAN... ,FALSE
Maybe the church of priests. ,FALSE
For priests and politicians it seems to be one law for them and a different one for the rest of us. Hypocrites all? ,FALSE
"mum: whose twenty one pilots shirt is this dad: that's shannons, its her favourite band me: DAMN STRAIGHT ",FALSE
Give us as wave.... Hey Buddy Hey Biebsy I never heard Justin been call Biebsy. Justin Bieber ,FALSE
Another stupid liberal disaster for a leader. ,TRUE
"Trump tells it like it is and speaks his mind, refreshing as politicians normally never answer a question ",FALSE
Good Morning Beliebers Justin Bieber ,FALSE
Brexit is slow train crash...... Labour has to reverse policy and give our voters a choice. ,FALSE
The SNP are going to bankrupt Scotland ,FALSE
Gay Update: I'm currently feeling symphonically ,FALSE
Hated by the Right. Mocked by the Left. Who Wants to Be iberal?Anymore? ,FALSE
"YOU HAVE MADE THEM TO BE A KINGDOM AND PRIESTS TO SERVE OUR GOD, AND THEY WILL REIGN ON THE EARTH. ( REV. 5: 10 ",FALSE
"i don't think, i know i'm a funny bitch",FALSE
"At last, someone tells us what means. This, from ",FALSE
"Globalist and Socialist spreading their NWO. Using PC, Religion and Racism to accomplish it. Merkel helped the Devil ",TRUE
"Police stand idly by, watching the islamic hate speech yet arrest anyone who criticises islam. Self destructive ",FALSE
Donald Trump to give major speech in Poland - BBC News ,FALSE
define Justin ,FALSE
Right-wing pols must put nation health above Obama disdain ,FALSE
Roche and Ireland's Biggest Biopharma take their Parkinson's Antibody to Phase II ,FALSE
"""WE JUST DONT KNOW. IT COULD HAVE BEEN OTHER COUNTRIES TOO. OBAMA WAS AT FAULT?"" LIKE DUDE HOW STUPID DO YOU THINK WE ALL ",FALSE
"As a monotheist, he was despised by the priests of other cults and most depictions of him were destroyed after his ",FALSE
Brexit negotiator in post-exit trade warning ,FALSE
Trump supporter vandalized school with iberal hate speech?to frame White House detractors ,FALSE
"Twas Brexit, and the slimy Gove Did lie, dissembling, in the Mail All flimsy was the case for Leave And Remainers' wrath ",TRUE
"More liberal criticism of Trump's attacks on the free press. Oh wait, this is from a GOP Senator. ",TRUE
Pope nfuriated?after cops raid drug-fueled ay orgy?at Vatican priest apartment: report... ,FALSE
What a sexy bitch,FALSE
Check out Shannon Crystal Designs Of Ireland 24% Lead Crystal Single Candlestick 6 1/2 In via ,FALSE
David Guetta ft Justin Bieber - 2U (The Victoria Secret Angels Lip Sync) ,FALSE
How become the voice of liberal Britain ,FALSE
"CNN is claiming Trump's wrestling tweet was anti-Islam and racist. When things go against you, the Liberal play book says ",TRUE
Phelan sets out how Hrabanus Maurus's commentary on Matthew worked as a handbook for busy priests on the go in C9 Mainz ,FALSE
"Senior Tax Manager, Top 12, Dublin - ",FALSE
"""Fake news!"" ",FALSE
"Its called the LoganAct and u just violated it again, Barack Obama And there will be consequences for your behavior ",TRUE
Donald Trump thinks Russia might have interfered in the 2016 US election: AFP ,FALSE
NORTH KOREA MISSLE: HOLLYWOOD Foreshadowing. Too bad Obama didn't see movie.,FALSE
"Liberal can't believe Trump will win in 2020, Retweet if you think he will WIN in 2020! Click here to get a T-shirt",FALSE
good morning harry did THAT he's acting bitch ,FALSE
