text,label,cleaned_text
Imagine how many have done this already and got away with entering ,0,imagine many done already got away entering
JW filed a FOIA lawsuit against State Treasury seeking answers on Obama Admin's $400 million cash pymt to Iran. ,0,jw filed foia lawsuit state treasury seeking answer obama admin million cash pymt iran
I am curious as to how many priests impregnanted young girls and used abortion to ,0,curious many priest impregnanted young girl used abortion
"Should read blames Obama, diminishes the intelligence community and slams CNN and ",0,read blame obama diminishes intelligence community slam cnn
"Global Payroll Specialist Assistant Manager, Dublin - ",0,global payroll specialist assistant manager dublin
White gay: but I thought the b in lgbt stands for babadook ,1,white gay thought b lgbt stand babadook
Dear you - your husband worked the rescue boats in the Med. Plse may we chat off record katie@katiehopkins.co.uk ,0,dear husband worked rescue boat med plse may chat record katie
They were conducted by two priests to a bench placed in front of the house in the open ,0,conducted two priest bench placed front house open
No body can convince me that Barak Hussein Obama was working to weaken America since his ideology is well known and it is compared to ,0,body convince barak hussein obama working weaken america since ideology well known compared
Trump: Obama Knew About Election Meddling Back In Early August And Did Nothi (pls ️️ ,0,trump obama knew election meddling back early august nothi pls
It's a sign of the current weakness of UK liberal centre that it's most popular commentators such as are ,0,sign current weakness uk liberal centre popular commentator
has just given a speech exposing the flaws in our the PM's approach to the Brexit negotiations here&gt; ,0,given speech exposing flaw pm approach brexit negotiation gt
Media never show anything against Maulvees Priests as dey have enough plots 2 defame Hindu saints. ,0,medium never show anything maulvees priest dey enough plot defame hindu saint
Bitch can't sleeep at all. Too much on my ,0,bitch sleeep much
'09 Obama - Listen up Racists Elections have consequences. Peaceful transition of power! If Dem's aren't Seditious… ,0,obama listen racist election consequence peaceful transition power dem seditious
"Leave Hobby Lobby alone! God expressly stated no birth control and no gay marriage, but never said anything about ",0,leave hobby lobby alone god expressly stated birth control gay marriage never said anything
bullshit asymmetry post feat. ,0,bullshit asymmetry post feat
I'm a political opinionated patriotic secular liberal center kind of guy .... and I choose to speak for… ,0,political opinionated patriotic secular liberal center kind guy choose speak
yeah this must hurt like a bitch ,0,yeah must hurt like bitch
"Pearl: To begin, this Holopearl will be your opponent. Holopearl: Level zero beginner set! Do you wish to engage in ",0,pearl begin holopearl opponent holopearl level zero beginner set wish engage
A huge legal 'flaw' in Brexit could make it vulnerable to a court challenge ,0,huge legal flaw brexit could make vulnerable court challenge
Let's kill the childish lie that Labour supports the Tories on ,0,let kill childish lie labour support tory
Best thing for is back defending paedophile priests. Pell needs his help RIGHT now ,0,best thing back defending paedophile priest pell need help right
Third sign in three days Brexit is hurting the economy ,0,third sign three day brexit hurting economy
"Donald Trump Is Not a ""Legitimate President"" JohnLewis is a TRAITOR to AMERICANS who voted for DJT! ",1,donald trump legitimate president johnlewis traitor american voted djt
Why you talking to your daddy like an underpaid ,0,talking daddy like underpaid
"Hearts in Ireland | Ian Cathro talks Perry Kitchen, midfield reinforcements &amp; Kyle Lafferty debut… ",0,heart ireland ian cathro talk perry kitchen midfield reinforcement amp kyle lafferty debut
Good morning! Intense week of press coverage for The new Hotel on ,0,good morning intense week press coverage new hotel
Lived experience vs ideology - Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,0,lived experience v ideology caller tell katie working migrant changed liberal husband
Jdb Justin ,0,jdb justin
Death of talented teen footballer (16) from 'cocaine-like' designer drug is first recorded in Ireland… ,0,death talented teen footballer cocaine like designer drug first recorded ireland
BBC News - Exorcism in Italy a job 'too scary' for young priests ,0,bbc news exorcism italy job scary young priest
If Obama did ANY of the lunatic things has done since taking office the would have literally set the White ,0,obama lunatic thing done since taking office would literally set white
"It's back with Southern Ireland, where it ",0,back southern ireland
Obsessed with Obama who's presidency history will see as remarkable. 0 convictions from the black POTUS. How ,0,obsessed obama presidency history see remarkable conviction black potus
gay ,0,gay
Raising real concerns on behalf of and but no assurance or answer from govt ,0,raising real concern behalf assurance answer govt
Trump administration begins pushing Obama’s tax policies ,0,trump administration begin pushing obama tax policy
A beautiful spot next to Dromoland Castle. Co Clare Ireland. ,0,beautiful spot next dromoland castle co clare ireland
'First they came for Katie Hopkins' was a joke but 'then they came for Luciana and I did not speak out for ,0,first came katie hopkins joke came luciana speak
